Test Case ID,Summary,Description,Preconditions,Test Steps,Expected Result,Actual Result,Status,Priority,Severity,Test Type,Environment,Labels
TC_001,Create booking with valid data,Verify that a new booking is created successfully using valid input data,1. API is accessible at https://restful-booker.herokuapp.com/apidoc/index.html 2. Valid booking data is available,"1. Send POST request to /booking endpoint 2. Include valid booking data (firstname, lastname, totalprice, depositpaid, checkin, checkout) 3. Include valid check-in and check-out dates",Response status code should be 200 and response body contains a bookingid,"",Not Executed,Critical,Blocker,Functional,QA,smoke
TC_002,Create booking with missing required fields,Verify that API rejects booking creation with missing required fields,1. API is accessible 2. Booking data template is available,"1. Send POST request to /booking endpoint 2. Include booking data with missing 'firstname' field 3. Submit the request",Response status code should be 400 and error message indicates missing required field,"",Not Executed,High,Major,Negative,QA,regression
TC_003,Create booking with invalid data type,Verify that API validates and rejects invalid data types,1. API is accessible 2. Booking data template is available,"1. Send POST request to /booking endpoint 2. Include booking data with totalprice as a string instead of number 3. Submit the request",Response status code should be 400 with appropriate validation error,"",Not Executed,High,Major,Boundary,QA,regression
TC_004,Retrieve booking by valid booking ID,Verify that GET request retrieves booking details correctly,1. API is accessible 2. A valid booking with known ID exists in the system,"1. Send GET request to /booking/{bookingid} endpoint 2. Use valid booking ID from previous test 3. Submit the request",Response status code should be 200 and response body contains matching booking details,"",Not Executed,Critical,Blocker,Functional,QA,smoke
TC_005,Retrieve booking with invalid booking ID,Verify that API returns appropriate error for non-existent booking ID,1. API is accessible 2. Invalid booking ID (999999) is known,"1. Send GET request to /booking/999999 endpoint 2. Submit the request",Response status code should be 404 indicating booking not found,"",Not Executed,Medium,Minor,Negative,QA,regression
TC_006,Update booking with valid data and authentication token,Verify that booking is updated successfully with valid authentication,"1. API is accessible 2. Valid booking ID exists 3. Authentication token is generated and available","1. Generate authentication token via POST to /auth endpoint 2. Send PUT request to /booking/{bookingid} endpoint 3. Include valid authentication token in header 4. Include updated booking data",Response status code should be 200 and booking data is updated in system,"",Not Executed,Critical,Blocker,Functional,QA,smoke
TC_007,Update booking without authentication token,Verify that API rejects update without proper authentication,1. API is accessible 2. Valid booking ID exists,"1. Send PUT request to /booking/{bookingid} endpoint 2. Omit authentication token from headers 3. Include updated booking data",Response status code should be 403 indicating unauthorized access,"",Not Executed,High,Major,Negative,QA,regression
TC_008,Delete booking with valid authentication token,Verify that booking is deleted successfully with proper authentication,"1. API is accessible 2. Valid booking ID exists 3. Authentication token is generated","1. Generate authentication token via POST to /auth endpoint 2. Send DELETE request to /booking/{bookingid} endpoint 3. Include authentication token in header",Response status code should be 201 and booking is removed from system,"",Not Executed,Critical,Blocker,Functional,QA,smoke
TC_009,Generate authentication token with valid credentials,Verify that authentication token is generated successfully,1. API is accessible 2. Valid username and password credentials are available,"1. Send POST request to /auth endpoint 2. Include username and password in request body 3. Submit the request",Response status code should be 200 and response contains valid authentication token,"",Not Executed,Critical,Blocker,Functional,QA,smoke
TC_010,Generate authentication token with invalid credentials,Verify that API rejects invalid credentials,1. API is accessible 2. Invalid username/password combination is known,"1. Send POST request to /auth endpoint 2. Include invalid username and password 3. Submit the request",Response status code should be 401 and error message indicates unauthorized,"",Not Executed,High,Major,Negative,QA,regression
